KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
1;XU100;BIST 100;BIST 100;TRY;17/02/2026;14227.29;14314.06;14227.29;14409.27
2;XU100_CFNPTLUS;BIST 100 (ABD DOLARI);BIST 100 (USD);USD;17/02/2026;1896.57;1896.57;1896.57;1896.57
3;XU100_CFNPTLER;BIST 100 (EURO);BIST 100 (EURO);EUR;17/02/2026;1877.37;1877.37;1877.37;1877.37
4;XU050;BIST 50;BIST 50;TRY;17/02/2026;12416.2;12545.8;12416.2;12601.63
5;XU050_CFNPTLUS;BIST 50 (ABD DOLARI);BIST 50 (USD);USD;17/02/2026;1655.15;1655.15;1655.15;1655.15
6;XU050_CFNPTLER;BIST 50 (EURO);BIST 50 (EURO);EUR;17/02/2026;1638.38;1638.38;1638.38;1638.38
7;XU030;BIST 30;BIST 30;TRY;17/02/2026;15616.21;15782.67;15616.21;15867.25
8;XU030_CFNPTLUS;BIST 30 (ABD DOLARI);BIST 30 (USD);USD;17/02/2026;2081.72;2081.72;2081.72;2081.72
9;XU030_CFNPTLER;BIST 30 (EURO);BIST 30 (EURO);EUR;17/02/2026;2060.64;2060.64;2060.64;2060.64
10;XLBNK;BIST LIKIT BANKA;BIST LIQUID BANKS;TRY;17/02/2026;17994.86;18102.57;17994.86;18429.73
11;XLBNK_CFNPTLUS;BIST LIKIT BANKA (ABD DOLARI);BIST LIQUID BANKS (USD);USD;17/02/2026;2398.81;2398.81;2398.81;2398.81
12;XLBNK_CFNPTLER;BIST LIKIT BANKA (EURO);BIST LIQUID BANKS (EURO);EUR;17/02/2026;2374.52;2374.52;2374.52;2374.52
13;X10XB;BIST BANKA DISI LIKIT 10;BIST LIQUID 10 EX BANKS;TRY;17/02/2026;17264.59;17487.17;17264.59;17574.48
14;X10XB_CFNPTLUS;BIST BANKA DISI LIKIT 10 (ABD DOLARI);BIST LIQUID 10 EX BANKS (USD);USD;17/02/2026;2301.46;2301.46;2301.46;2301.46
15;X10XB_CFNPTLER;BIST BANKA DISI LIKIT 10 (EURO);BIST LIQUID 10 EX BANKS (EURO);EUR;17/02/2026;2278.15;2278.15;2278.15;2278.15
16;XU500;BIST 500;BIST 500;TRY;17/02/2026;17249.58;17319.55;17249.58;17422.56
17;XU500_CFNPTLUS;BIST 500 (ABD DOLARI);BIST 500 (USD);USD;17/02/2026;2299.46;2299.46;2299.46;2299.46
18;XU500_CFNPTLER;BIST 500 (EURO);BIST 500 (EURO);EUR;17/02/2026;2276.17;2276.17;2276.17;2276.17
19;XUTUM;BIST TUM;BIST ALL SHARES;TRY;17/02/2026;17452.58;17523.59;17452.58;17626.37
20;XUTUM_CFNPTLUS;BIST TUM (ABD DOLARI);BIST ALL SHARES (USD);USD;17/02/2026;2326.52;2326.52;2326.52;2326.52
21;XUTUM_CFNPTLER;BIST TUM (EURO);BIST ALL SHARES (EURO);EUR;17/02/2026;2302.96;2302.96;2302.96;2302.96
22;XELOT;BIST 50-30;BIST 50-30;TRY;17/02/2026;10463.6;10557.26;10439.87;10557.26
23;XELOT_CFNPTLUS;BIST 50-30 (ABD DOLARI);BIST 50-30 (USD);USD;17/02/2026;1394.85;1394.85;1394.85;1394.85
24;XELOT_CFNPTLER;BIST 50-30 (EURO);BIST 50-30 (EURO);EUR;17/02/2026;1380.73;1380.73;1380.73;1380.73
25;XELOS;BIST 50-30 AGIRLIK SINIRLAMALI 10;BIST 50-30 CAPPED 10;TRY;17/02/2026;10308.59;10399.69;10284.41;10399.69
26;XELOS_CFCPTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 50-30 CAPPED 10 (USD);USD;17/02/2026;1374.19;1374.19;1374.19;1374.19
27;XELOS_CFCPTLER;BIST 50-30 AGIRLIK SINIRLAMALI 10 (EURO);BIST 50-30 CAPPED 10 (EURO);EUR;17/02/2026;1360.27;1360.27;1360.27;1360.27
28;XELOC;BIST 50-30 AGIRLIK SINIRLAMALI 25;BIST 50-30 CAPPED 25;TRY;17/02/2026;10459.64;10553.27;10435.93;10553.27
29;XELOC_CFCPTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 50-30 CAPPED 25 (USD);USD;17/02/2026;1394.33;1394.33;1394.33;1394.33
30;XELOC_CFCPTLER;BIST 50-30 AGIRLIK SINIRLAMALI 25 (EURO);BIST 50-30 CAPPED 25 (EURO);EUR;17/02/2026;1380.21;1380.21;1380.21;1380.21
31;XYUZO;BIST 100-30;BIST 100-30;TRY;17/02/2026;25290.95;25159.22;25159.22;25417.86
32;XYUZO_CFNPTLUS;BIST 100-30 (ABD DOLARI);BIST 100-30 (USD);USD;17/02/2026;3371.42;3371.42;3371.42;3371.42
33;XYUZO_CFNPTLER;BIST 100-30 (EURO);BIST 100-30 (EURO);EUR;17/02/2026;3337.27;3337.27;3337.27;3337.27
34;XTUMY;BIST TUM-100;BIST ALL SHARES-100;TRY;17/02/2026;63585.61;63476.4;63211.85;63723.73
35;XTUMY_CFNPTLUS;BIST TUM-100 (ABD DOLARI);BIST ALL SHARES-100 (USD);USD;17/02/2026;8476.3;8476.3;8476.3;8476.3
36;XTUMY_CFNPTLER;BIST TUM-100 (EURO);BIST ALL SHARES-100 (EURO);EUR;17/02/2026;8390.46;8390.46;8390.46;8390.46
37;X100S;BIST 100 AGIRLIK SINIRLAMALI 10;BIST 100 CAPPED 10;TRY;17/02/2026;14230.18;14316.97;14230.18;14412.21
38;X100S_CFCPTLUS;BIST 100 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 100 CAPPED 10 (USD);USD;17/02/2026;1896.96;1896.96;1896.96;1896.96
39;X100S_CFCPTLER;BIST 100 AGIRLIK SINIRLAMALI 10 (EURO);BIST 100 CAPPED 10 (EURO);EUR;17/02/2026;1877.75;1877.75;1877.75;1877.75
40;X100C;BIST 100 AGIRLIK SINIRLAMALI 25;BIST 100 CAPPED 25;TRY;17/02/2026;14227.29;14314.06;14227.29;14409.27
