KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
1;XU100_CFNNTLTL;BIST 100 GETIRI;BIST 100 RETURN;TRY;17/02/2026;28008.16;28178.98;28008.16;28366.43
2;XU100_CFNNTLUS;BIST 100 GETIRI (ABD DOLARI);BIST 100 RETURN (USD);USD;17/02/2026;3733.64;3733.64;3733.64;3733.64
3;XU100_CFNNTLER;BIST 100 GETIRI (EURO);BIST 100 RETURN (EURO);EUR;17/02/2026;3695.83;3695.83;3695.83;3695.83
4;XU050_CFNNTLTL;BIST 50 GETIRI;BIST 50 RETURN;TRY;17/02/2026;24375.27;24629.7;24375.27;24739.31
5;XU050_CFNNTLUS;BIST 50 GETIRI (ABD DOLARI);BIST 50 RETURN (USD);USD;17/02/2026;3249.35;3249.35;3249.35;3249.35
6;XU050_CFNNTLER;BIST 50 GETIRI (EURO);BIST 50 RETURN (EURO);EUR;17/02/2026;3216.45;3216.45;3216.45;3216.45
7;XU030_CFNNTLTL;BIST 30 GETIRI;BIST 30 RETURN;TRY;17/02/2026;30954.43;31284.4;30954.43;31452.05
8;XU030_CFNNTLUS;BIST 30 GETIRI (ABD DOLARI);BIST 30 RETURN (USD);USD;17/02/2026;4126.39;4126.39;4126.39;4126.39
9;XU030_CFNNTLER;BIST 30 GETIRI (EURO);BIST 30 RETURN (EURO);EUR;17/02/2026;4084.6;4084.6;4084.6;4084.6
10;XLBNK_CFNNTLTL;BIST LIKIT BANKA GETIRI;BIST LIQUID BANKS RETURN;TRY;17/02/2026;20803.93;20928.45;20803.93;21306.69
11;XLBNK_CFNNTLUS;BIST LIKIT BANKA GETIRI (ABD DOLARI);BIST LIQUID BANKS RETURN (USD);USD;17/02/2026;2773.28;2773.28;2773.28;2773.28
12;XLBNK_CFNNTLER;BIST LIKIT BANKA GETIRI (EURO);BIST LIQUID BANKS RETURN (EURO);EUR;17/02/2026;2745.19;2745.19;2745.19;2745.19
13;X10XB_CFNNTLTL;BIST BANKA DISI LIKIT 10 GETIRI;BIST LIQUID 10 EX BANKS RETURN;TRY;17/02/2026;20497.38;20761.63;20497.38;20865.29
14;X10XB_CFNNTLUS;BIST BANKA DISI LIKIT 10 GETIRI (ABD DOLARI);BIST LIQUID 10 EX BANKS RETURN (USD);USD;17/02/2026;2732.41;2732.41;2732.41;2732.41
15;X10XB_CFNNTLER;BIST BANKA DISI LIKIT 10 GETIRI (EURO);BIST LIQUID 10 EX BANKS RETURN (EURO);EUR;17/02/2026;2704.74;2704.74;2704.74;2704.74
16;XU500_CFNNTLTL;BIST 500 GETIRI;BIST 500 RETURN;TRY;17/02/2026;17956.5;18029.33;17956.5;18136.56
17;XU500_CFNNTLUS;BIST 500 GETIRI (ABD DOLARI);BIST 500 RETURN (USD);USD;17/02/2026;2393.7;2393.7;2393.7;2393.7
18;XU500_CFNNTLER;BIST 500 GETIRI (EURO);BIST 500 RETURN (EURO);EUR;17/02/2026;2369.46;2369.46;2369.46;2369.46
