entry_date,exit_date,tickers,ret,equity
2016-01-12,2016-01-19,"OTKAR,BOYP,KARTN,HDFGS,TMSN",-0.027763964895891412,0.9722360351041086
2016-01-19,2016-01-26,"KOZAA,BJKAS,LOGO,BOYP,IPEKE",0.020927453793193662,0.9925824598048276
2016-02-02,2016-02-09,"ADESE,OTKAR,PETKM,BOYP,CRFSA",-0.014405572700141894,0.9782837410192236
2016-02-09,2016-02-16,"KLGYO,KOZAL,KATMR,BOYP,BJKAS",-0.009712246396026938,0.9687824082812179
2016-02-16,2016-02-23,"LOGO,KOZAL,CRFSA,BOYP,KLGYO",0.03261849418004596,1.0003826316274698
2016-02-23,2016-03-01,"ARCLK,BOYP,KOZAL,FENER,YKBNK",0.0010885507112982024,1.001471598852698
2016-03-01,2016-03-08,"KOZAL,ARCLK,ECILC,FROTO,BOYP",0.009471363995590464,1.0109569008966781
2016-03-08,2016-03-15,"KOZAL,TSKB,AKFEN,RHEAG,ARENA",-0.022588349174882606,0.9881210534184668
2016-03-15,2016-03-22,"ARCLK,TATGD,BAGFS,BJKAS,TKFEN",0.018395041430383122,1.0062975811343333
2016-03-22,2016-03-29,"KCHOL,ADESE,KOZAL,ULKER,SODA",0.01352587878402414,1.0199086402374131
2016-03-29,2016-04-05,"ADESE,ULKER,AEFES,KRDMD,BIMAS",0.020386837180916686,1.0407013516253434
2016-04-05,2016-04-12,"TOASO,AEFES,ADESE,LOGO,GOLTS",-0.015664333072331865,1.0243994590246581
2016-04-12,2016-04-19,"ALGYO,BIZIM,ADESE,GOLTS,TATGD",0.06943462659254004,1.0955282529436352
2016-04-19,2016-04-26,"VERTU,GOLTS,GOODY,TKFEN,VAKBN",0.01403430903182807,1.1109032349985448
2016-04-26,2016-05-03,"KORDS,VESBE,TSPOR,ODAS,GOODY",-0.05736449473211548,1.0471768322265809
2016-05-03,2016-05-10,"ADESE,GOLTS,GOODY,GSRAY,KOZAL",0.004959436014193779,1.0523702387215548
2016-06-07,2016-06-14,"ODAS,TSPOR,GSDHO,GSRAY,PETKM",0.005899302951899256,1.0585784895773358
2016-08-02,2016-08-09,"KATMR,AEFES,CEMAS,KLMSN,TRKCM",0.00256625410203751,1.0612950709685423
2016-08-16,2016-08-23,"KLMSN,ALCTL,TRKCM,KORDS,VESTL",0.03405660683495715,1.0974391799363956
2016-08-23,2016-08-31,"VESBE,ALCTL,ADESE,KLMSN,EGEEN",-0.027656821475894395,1.0670875004562428
2016-08-31,2016-09-07,"ALCTL,BANVT,HURGZ,EREGL,DYOBY",0.045138431887909274,1.1152541569140264
2016-09-06,2016-09-19,"ALCTL,IHLAS,VESBE,CCOLA,KOZAL",0.024895030803088768,1.143018443503674
2016-09-26,2016-10-03,"KATMR,MGROS,DYOBY,AKSEN,ORGE",0.009880048926863137,1.1543115216497972
2016-10-03,2016-10-10,"NETAS,ECILC,KATMR,BJKAS,VESBE",0.0038122010226248485,1.1587119892130584
2016-10-10,2016-10-17,"DYOBY,CCOLA,ALGYO,KOZAL,GOODY",-0.012388678651623866,1.144357078728914
2016-10-17,2016-10-24,"KLMSN,VESBE,ORGE,KATMR,ALGYO",0.025685902749196434,1.1737509233634993
2016-10-24,2016-10-31,"ASLAN,KLMSN,CRFSA,TUCLK,ECILC",-0.04483077692241327,1.1211307575557137
2016-10-31,2016-11-07,"KLMSN,ASLAN,DEVA,GSRAY,ECILC",-0.06634947228901808,1.046744323424905
2016-11-14,2016-11-21,"ALCTL,KLMSN,OTKAR,KORDS,HURGZ",0.03425075247645305,1.0825961041526637
2016-12-26,2017-01-02,"SASA,KOZAA,KLMSN,IPEKE,GSRAY",-0.015960751922230756,1.0653170563023096
2017-01-02,2017-01-09,"DYOBY,PGSUS,ALGYO,SISE,SASA",-0.003217264652623502,1.0618896493932313
2017-01-09,2017-01-16,"DYOBY,DOHOL,SASA,ALGYO,METRO",0.04616783485066082,1.110914795356044
2017-01-16,2017-01-23,"SASA,DYOBY,BANVT,CEMAS,EREGL",-0.013977086901491123,1.0953874427212005
2017-01-23,2017-01-30,"CEMAS,BANVT,PGSUS,BJKAS,VAKFN",-0.012701248964635446,1.0814746540984632
2017-01-30,2017-02-06,"CEMAS,AVTUR,MAKTK,KATMR,BJKAS",0.14224950280616555,1.2353138859414396
2017-02-06,2017-02-13,"AVTUR,ZOREN,MAKTK,MEPET,HALKB",0.0412700014321734,1.2862952917834265
2017-02-13,2017-02-20,"IHLAS,AVTUR,MAKTK,KARSN,METRO",-0.029877085037743577,1.247864537967164
2017-02-20,2017-02-27,"METRO,KOZAL,MAKTK,SASA,AVTUR",0.01899759172683346,1.2715709589898578
