entry_date,exit_date,tickers,ret,equity
2016-01-11,2016-01-18,TIRE,0.08823529411764697,1.088235294117647
2016-01-18,2016-01-25,BJKAS,0.022900763358778553,1.113156713066906
2016-01-25,2016-02-01,LOGO,-0.0009871668311943749,1.112057841681845
2016-02-01,2016-02-08,"BJKAS,TTKOM,ENKAI",0.0421224715013521,1.1589004664259437
2016-02-08,2016-02-15,"BJKAS,RHEAG,ARENA,YKBNK",-0.006644249629089494,1.1512004424317415
2016-02-15,2016-02-22,,0.0,1.1512004424317415
2016-02-22,2016-02-29,"VESBE,NETAS,KOZAL",0.04553378611348857,1.2036189571511817
2016-02-29,2016-03-07,"ARENA,ECILC,KRDMD,FROTO,AFYON",0.05040385624655561,1.264285994043059
2016-03-07,2016-03-14,"KOZAA,ZOREN,BAGFS,ULKER,ODAS",0.014255913970911905,1.282309546408766
2016-03-14,2016-03-21,"IPEKE,VESTL,KARTN,TOASO",0.061682931846141154,1.361406158765554
2016-03-21,2016-03-28,"KRDMD,ENKAI,SISE,MGROS,NUGYO",0.002762090601135747,1.3651664859210084
2016-03-28,2016-04-04,"KRDMD,LOGO",0.05693277310924372,1.4428891997202928
2016-04-04,2016-04-11,"VESTL,TRKCM,GOODY,GOLTS,AEFES",0.022919658607466652,1.4759597275862828
2016-04-11,2016-04-18,"EREGL,GOZDE,ODAS,TRKCM,VAKBN",0.04428640411690834,1.541324676542451
2016-04-18,2016-04-25,"VERTU,AKENR,ALARK,TSPOR,KORDS",0.06890485991623847,1.6475294374650504
2016-04-25,2016-05-02,"KORDS,TSPOR,FENER",-0.0005764915356583448,1.646579650689604
2016-05-02,2016-05-09,CUSAN,0.25159235668789814,2.0608465054809377
2016-05-09,2016-05-16,,0.0,2.0608465054809377
2016-05-16,2016-05-24,ODAS,0.045143638850889234,2.1538806158514863
2016-05-23,2016-05-30,"ANACM,TRKCM",0.0211609159764361,2.199458702586794
2016-05-30,2016-06-06,,0.0,2.199458702586794
2016-06-06,2016-06-13,ODAS,0.019744483159117365,2.242885877899193
2016-06-13,2016-06-20,,0.0,2.242885877899193
2016-06-20,2016-06-27,,0.0,2.242885877899193
2016-06-27,2016-07-04,,0.0,2.242885877899193
